Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
../instances/mochila_apretada_n10_no_conflict.txt,dp,258485,137932,"2 ",0.0432715,OK
../instances/mochila_apretada_n20_no_conflict.txt,dp,770684,401929,"14 5 ",0.0605176,OK
../instances/mochila_apretada_n30_no_conflict.txt,dp,804907,419256,"20 6 ",0.0937714,OK
../instances/mochila_apretada_n40_no_conflict.txt,dp,944337,495245,"38 16 2 ",0.101894,OK
../instances/mochila_apretada_n50_no_conflict.txt,dp,997512,522727,"12 7 2 ",0.119355,OK
../instances/mochila_apretada_n60_no_conflict.txt,dp,943538,486124,"55 51 12 ",0.136098,OK
../instances/mochila_apretada_n70_no_conflict.txt,dp,923206,475839,"58 9 ",0.214,OK
../instances/mochila_apretada_n80_no_conflict.txt,dp,999092,510055,"50 15 14 ",0.190205,OK
../instances/mochila_chica_n10_no_conflict.txt,dp,6007,8422,"9 8 7 4 1 0 ",0.000526709,OK
../instances/mochila_chica_n20_no_conflict.txt,dp,53226,69810,"19 18 17 16 15 14 10 9 5 4 3 0 ",0.00871104,OK
../instances/mochila_chica_n30_no_conflict.txt,dp,147863,200050,"28 27 26 25 24 21 20 18 17 13 12 11 10 9 7 5 4 2 1 0 ",0.029376,OK
../instances/mochila_chica_n40_no_conflict.txt,dp,289526,399432,"39 35 32 29 28 27 25 22 21 19 18 17 16 15 14 13 12 11 10 9 8 7 6 3 2 0 ",0.0606389,OK
../instances/mochila_chica_n50_no_conflict.txt,dp,479142,649441,"49 46 45 44 43 40 38 37 36 35 34 32 31 30 29 28 27 26 25 24 23 22 20 16 15 14 12 11 10 9 6 2 1 ",0.122702,OK
../instances/mochila_chica_n60_no_conflict.txt,dp,715820,946625,"59 58 55 54 52 51 50 49 48 47 46 45 44 43 42 41 40 39 35 34 33 31 27 26 24 23 21 19 17 16 14 13 12 11 9 8 6 5 4 3 2 0 ",0.163592,OK
../instances/mochila_chica_n70_no_conflict.txt,dp,999288,1365417,"69 68 66 65 64 62 60 56 53 52 48 42 40 39 38 37 36 35 34 33 32 31 30 29 28 26 24 23 22 20 18 17 16 15 12 11 10 9 8 7 6 5 4 3 2 1 ",0.28468,OK
../instances/mochila_chica_n80_no_conflict.txt,dp,1331035,1766320,"78 77 76 74 72 71 69 68 67 66 63 62 61 60 59 55 54 53 52 51 49 48 46 44 43 42 40 39 38 36 35 34 32 29 27 26 24 23 22 21 18 17 16 14 13 11 10 8 7 6 5 3 2 1 0 ",0.501054,OK
../instances/mochila_chica_n90_no_conflict.txt,dp,1709735,2254996,"89 88 87 86 80 78 77 76 75 73 72 71 70 68 67 66 64 63 60 59 57 56 55 53 52 51 49 48 46 45 44 43 41 40 34 32 31 29 28 26 25 24 23 20 19 18 17 15 13 12 10 8 7 6 5 4 3 2 1 0 ",0.720051,OK
../instances/mochila_chica_n100_no_conflict.txt,dp,2135865,2860395,"99 97 96 94 93 92 89 88 87 86 84 81 79 78 75 74 73 71 70 69 68 67 66 64 62 60 59 58 56 55 54 53 52 51 48 47 45 42 41 40 38 37 36 35 33 32 31 30 29 28 27 25 24 23 21 19 17 15 12 11 10 9 8 7 6 5 4 3 ",0.91967,OK
